Decade And Way,Male 15-24,Male 25-34,Male 35-44,Male 45-54,Male 55+,Female 15-24,Female 25-34,Female 35-44,Female 45-54,Female 55+
1960s Through Family,0.15503875968992248,0.09375,0.0,0.0,0.0,0.08791208791208792,0.07142857142857142,0.0,0.0,0.0
1960s Through Friends,0.1937984496124031,0.15625,0.0,0.0,0.0,0.1978021978021978,0.14285714285714285,0.0,0.0,0.0
1960s As Coworkers,0.06201550387596899,0.15625,0.0,0.0,0.0,0.0989010989010989,0.07142857142857142,0.0,0.0,0.0
1960s At A Bar or Restaurant,0.10077519379844961,0.15625,0.0,0.0,0.0,0.0989010989010989,0.21428571428571427,0.0,0.0,0.0
1960s At A Party,0.06976744186046512,0.03125,0.0,0.0,0.0,0.04945054945054945,0.14285714285714285,0.0,0.0,0.0
1960s In A Customer-Client Relationship,0.05426356589147287,0.125,0.0,0.0,0.0,0.038461538461538464,0.14285714285714285,0.0,0.0,0.0
1960s At School (Non-College),0.06976744186046512,0.0,0.0,0.0,0.0,0.13186813186813187,0.0,0.0,0.0,0.0
1960s In College,0.09302325581395349,0.03125,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.0
1960s At Church,0.023255813953488372,0.03125,0.5,0.0,0.0,0.02197802197802198,0.07142857142857142,0.0,0.0,0.0
1960s Through A Voluntary Organization (i.e. hobbies),0.015503875968992248,0.09375,0.0,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.0
1960s As Neighbors,0.023255813953488372,0.0625,0.0,0.0,0.0,0.038461538461538464,0.07142857142857142,0.0,0.0,0.0
1960s On A Blind Date,0.05426356589147287,0.03125,0.0,0.0,0.0,0.054945054945054944,0.0,0.0,0.0,0.0
1960s In A Public Place,0.03875968992248062,0.0,0.0,0.0,0.0,0.02197802197802198,0.0,1.0,0.0,0.0
1960s In The Military,0.023255813953488372,0.0,0.5,0.0,0.0,0.06593406593406594,0.07142857142857142,0.0,0.0,0.0
1960s On Vacation,0.015503875968992248,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0
1960s Through A Singles Service (Non-Online),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960s On A Business Trip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960s Online,0.007751937984496124,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0
1960s As Work Neighbors,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970s Through Family,0.09545454545454546,0.09803921568627451,0.0,0.0,0.0,0.1388888888888889,0.13636363636363635,0.09090909090909091,0.0,0.0
1970s Through Friends,0.20454545454545456,0.2549019607843137,0.17647058823529413,0.0,0.0,0.23412698412698413,0.20454545454545456,0.09090909090909091,0.0,0.0
1970s As Coworkers,0.09090909090909091,0.1568627450980392,0.11764705882352941,0.0,0.0,0.10317460317460317,0.18181818181818182,0.09090909090909091,0.0,0.0
1970s At A Bar or Restaurant,0.12272727272727273,0.17647058823529413,0.17647058823529413,0.0,0.0,0.09126984126984126,0.11363636363636363,0.09090909090909091,0.0,0.0
1970s At A Party,0.08181818181818182,0.0392156862745098,0.23529411764705882,0.0,0.0,0.06746031746031746,0.022727272727272728,0.09090909090909091,0.0,0.0
1970s In A Customer-Client Relationship,0.02727272727272727,0.0784313725490196,0.058823529411764705,0.0,0.0,0.01984126984126984,0.022727272727272728,0.18181818181818182,1.0,0.0
1970s At School (Non-College),0.08636363636363636,0.0196078431372549,0.058823529411764705,0.0,0.0,0.07539682539682539,0.0,0.0,0.0,0.0
1970s In College,0.08181818181818182,0.058823529411764705,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.0,0.0,0.0
